,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
0,TqCVimoWMZk,ざっくりYouTube,【都道府県トーク】アナタの知らない大阪がここに！【ディープ大阪】,"これまでに訪れた日本全国を回想してトーク！
都道府県カードを引き、出た場所にまつわる思い出を語る。
今回は４人が最も縁があるであろう大阪！果たして…。

千原ジュニア、吉本新喜劇・小籔千豊、フットボールアワー後藤・岩尾ら
3組の芸人たちによる笑いのかけ合いをお楽しみください！

チャンネル登録者数60万人突破ありがとうございます！
【チャンネル登録】と【いいねボタン】よろしくお願いします！
毎週水曜日・土曜日18時に動画を公開

#千原ジュニア　#小籔千豊　#フットボールアワー　#ざっくり　#ジュニア小籔フット　#通天閣

▶︎【都道府県トーク】フットボールアワーの元カノ秘話in福岡
https://www.youtube.com/watch?v=9ne05-kdFY0&t=125s

▶︎後藤が史上最高と認める部屋着初公開！【新潟産】
https://www.youtube.com/watch?v=q4aNzME-CDk

【番組公式Twitter】
 https://twitter.com/zakkuri_youtube

【出演者SNS情報】
千原ジュニアYouTube
https://www.youtube.com/channel/UCzpMoI_9uAqcIxpq3Ydf2Lg
千原ジュニアInstagram
https://instagram.com/chihara_jr?igsh...
小籔Twitter
https://twitter.com/koyabukazutoyo?s=09
小籔Instagram
https://www.instagram.com/koyabukazutoyo_shinkigeki/
フォートナイト下手くそおじさん 
https://www.youtube.com/channel/UCXyDQaRrI9cwgIvNij1L46Q
岩尾Twitter
https://twitter.com/nozomuiwao?s=09
岩尾Instagram
https://instagram.com/iwaotsukushi?ig.","['千原ジュニア', 'フットボールアワー', '小籔千豊', '吉本', 'OmO', '吉本興業', 'ざっくり', 'ジュニアチャンネル', '小藪千豊', '小籔', 'ジュニア', '千原', 'ざっくりハイタッチ', 'チハラ', 'チハラトーク']",2022-05-28T09:00:23Z,162840,2076,,142,PT12M56S,hd,false
1,t0dnxsFsMpc,ざっくりYouTube,【激戦】差し入れ-1グランプリin ∞ホール【若手芸人登場】,"新企画・差し入れ-1グランプリついに開幕！
普段色々な差し入れを貰っている4人なら
最高の差し入れを知っているはず！
そんな4人がそれぞれ選んだ差し入れの中で
∞ホールの若手芸人に刺さるグランプリはどれなのか？
そして、全額自腹支払いになる最下位は一体！？

千原ジュニア、吉本新喜劇・小籔千豊、フットボールアワー後藤・岩尾ら
3組の芸人たちによる笑いのかけ合いをお楽しみください！

チャンネル登録者数60万人突破ありがとうございます！
【チャンネル登録】と【いいねボタン】よろしくお願いします！
毎週水曜日・土曜日18時に動画を公開

#千原ジュニア　#小籔千豊　#フットボールアワー　#ざっくり　#ジュニア小籔フット　#差し入れ　#若手芸人

【番組公式Twitter】
 https://twitter.com/zakkuri_youtube

【出演者SNS情報】
千原ジュニアYouTube
https://www.youtube.com/channel/UCzpMoI_9uAqcIxpq3Ydf2Lg
千原ジュニアInstagram
https://instagram.com/chihara_jr?igsh...
小籔Twitter
https://twitter.com/koyabukazutoyo?s=09
小籔Instagram
https://www.instagram.com/koyabukazutoyo_shinkigeki/
フォートナイト下手くそおじさん 
https://www.youtube.com/channel/UCXyDQaRrI9cwgIvNij1L46Q
岩尾Twitter
https://twitter.com/nozomuiwao?s=09
岩尾Instagram
https://instagram.com/iwaotsukushi?ig.","['千原ジュニア', 'フットボールアワー', '小籔千豊', '吉本', 'OmO', '吉本興業', 'ざっくり', 'ジュニアチャンネル', '小藪千豊', '小籔', 'ジュニア', '千原', 'ざっくりハイタッチ', 'チハラ', 'チハラトーク']",2022-05-25T09:00:26Z,184218,2639,,225,PT18M4S,hd,false
2,gzNgC0bIsGA,ざっくりYouTube,【芸能界】スター芸能人の差し入れ事情【大人力】,"新企画・差し入れ-1グランプリが開幕！
4人がこれまで印象に残った芸能人からの差し入れとは？
そして、差し入れ総額自腹をかけて4人がガチ対決！
∞ホールへの自腹差し入れ、それぞれ何を選ぶのか？

千原ジュニア、吉本新喜劇・小籔千豊、フットボールアワー後藤・岩尾ら
3組の芸人たちによる笑いのかけ合いをお楽しみください！

チャンネル登録者数60万人突破ありがとうございます！
【チャンネル登録】と【いいねボタン】よろしくお願いします！
毎週水曜日・土曜日18時に動画を公開

#千原ジュニア　#小籔千豊　#フットボールアワー　#ざっくり　#ジュニア小籔フット　#差し入れ

【番組公式Twitter】
 https://twitter.com/zakkuri_youtube

【出演者SNS情報】
千原ジュニアYouTube
https://www.youtube.com/channel/UCzpMoI_9uAqcIxpq3Ydf2Lg
千原ジュニアInstagram
https://instagram.com/chihara_jr?igsh...
小籔Twitter
https://twitter.com/koyabukazutoyo?s=09
小籔Instagram
https://www.instagram.com/koyabukazutoyo_shinkigeki/
フォートナイト下手くそおじさん 
https://www.youtube.com/channel/UCXyDQaRrI9cwgIvNij1L46Q
岩尾Twitter
https://twitter.com/nozomuiwao?s=09
岩尾Instagram
https://instagram.com/iwaotsukushi?ig.","['千原ジュニア', 'フットボールアワー', '小籔千豊', '吉本', 'OmO', '吉本興業', 'ざっくり', 'ジュニアチャンネル', '小藪千豊', '小籔', 'ジュニア', '千原', 'ざっくりハイタッチ', 'チハラ', 'チハラトーク']",2022-05-21T09:00:30Z,172294,2086,,104,PT13M45S,hd,false
3,Cpb1mLFGRqw,ざっくりYouTube,【アングラ】どんなタトゥーを入れたいか？,"『もし入れるのであれば、どんなタトゥーを入れたい？』
・千原ジュニアが最近の銭湯で見た驚きの光景
・小籔のフォートナイト愛が強すぎて…
・フットボールアワーの2人がお揃いで入れたいモノ
4人のタトゥーに対する価値観が明らかに！！

千原ジュニア、吉本新喜劇・小籔千豊、フットボールアワー後藤・岩尾ら
3組の芸人たちによる笑いのかけ合いをお楽しみください！

チャンネル登録者数60万人突破ありがとうございます！
【チャンネル登録】と【いいねボタン】よろしくお願いします！
毎週水曜日・土曜日18時に動画を公開

#千原ジュニア　#小籔千豊　#フットボールアワー　#ざっくり　#ジュニア小籔フット　#フォートナイト　#FORTNITE

【番組公式Twitter】
 https://twitter.com/zakkuri_youtube

【出演者SNS情報】
千原ジュニアYouTube
https://www.youtube.com/channel/UCzpMoI_9uAqcIxpq3Ydf2Lg
千原ジュニアInstagram
https://instagram.com/chihara_jr?igsh...
小籔Twitter
https://twitter.com/koyabukazutoyo?s=09
小籔Instagram
https://www.instagram.com/koyabukazutoyo_shinkigeki/
フォートナイト下手くそおじさん 
https://www.youtube.com/channel/UCXyDQaRrI9cwgIvNij1L46Q
岩尾Twitter
https://twitter.com/nozomuiwao?s=09
岩尾Instagram
https://instagram.com/iwaotsukushi?ig.","['千原ジュニア', 'フットボールアワー', '小籔千豊', '吉本', 'OmO', '吉本興業', 'ざっくり', 'ジュニアチャンネル', '小藪千豊', '小籔', 'ジュニア', '千原', 'ざっくりハイタッチ', 'チハラ', 'チハラトーク']",2022-05-18T09:00:04Z,145760,1825,,160,PT13M26S,hd,false
4,0fUiQuCfuu8,ざっくりYouTube,【ムチャ振り】エンディングトークからロケしたら後藤が秘密を告白することになりました【花やしき】,"エンディングトークを撮影してからロケを行い、
エンディングトーク内で出た話をロケ中に必ず起こさなければならない！
という無茶振り企画の第２弾。
浅草・花やしきで行われる無茶振り指令の数々に4人はどう対応するのか！？

千原ジュニア、吉本新喜劇・小籔千豊、フットボールアワー後藤・岩尾ら
3組の芸人たちによる笑いのかけ合いをお楽しみください！

チャンネル登録者数60万人突破ありがとうございます！
【チャンネル登録】と【いいねボタン】よろしくお願いします！
毎週水曜日・土曜日18時に動画を公開

#千原ジュニア　#小籔千豊　#フットボールアワー　#ざっくり　#ジュニア小籔フット　

【番組公式Twitter】
 https://twitter.com/zakkuri_youtube

【出演者SNS情報】
千原ジュニアYouTube
https://www.youtube.com/channel/UCzpMoI_9uAqcIxpq3Ydf2Lg
千原ジュニアInstagram
https://instagram.com/chihara_jr?igsh...
小籔Twitter
https://twitter.com/koyabukazutoyo?s=09
小籔Instagram
https://www.instagram.com/koyabukazutoyo_shinkigeki/
フォートナイト下手くそおじさん 
https://www.youtube.com/channel/UCXyDQaRrI9cwgIvNij1L46Q
岩尾Twitter
https://twitter.com/nozomuiwao?s=09
岩尾Instagram
https://instagram.com/iwaotsukushi?ig.","['千原ジュニア', 'フットボールアワー', '小籔千豊', '吉本', 'OmO', '吉本興業', 'ざっくり', 'ジュニアチャンネル', '小藪千豊', '小籔', 'ジュニア', '千原', 'ざっくりハイタッチ', 'チハラ', 'チハラトーク']",2022-05-14T09:00:00Z,129111,2085,,131,PT14M4S,hd,false
5,7CxfPl1Nujs,ざっくりYouTube,【車中トーク】小籔が起業!?おじさん向け新ビジネスとは,"商店街ロケ終了後の車中トーク。
先日股関節手術を終えたジュニアの話から、
話題は「健康トーク」へ…
そこから発展した、小籔が考える新ビジネスとは？

【箱から引いて何かになりきってロケした回】
https://www.youtube.com/watch?v=_XhwLj8H-LE&t=363s

【ジュニア個人YouTube　手術報告回】
https://www.youtube.com/watch?v=Nxm7o_l6mIk&t=478s

千原ジュニア、吉本新喜劇・小籔千豊、フットボールアワー後藤・岩尾ら
3組の芸人たちによる笑いのかけ合いをお楽しみください！

チャンネル登録者数60万人突破ありがとうございます！
【チャンネル登録】と【いいねボタン】よろしくお願いします！
毎週水曜日・土曜日18時に動画を公開

#千原ジュニア　#小籔千豊　#フットボールアワー　#ざっくり　#ジュニア小籔フット　#車中トーク

【番組公式Twitter】
 https://twitter.com/zakkuri_youtube

【出演者SNS情報】
千原ジュニアYouTube
https://www.youtube.com/channel/UCzpMoI_9uAqcIxpq3Ydf2Lg
千原ジュニアInstagram
https://instagram.com/chihara_jr?igsh...
小籔Twitter
https://twitter.com/koyabukazutoyo?s=09
小籔Instagram
https://www.instagram.com/koyabukazutoyo_shinkigeki/
フォートナイト下手くそおじさん 
https://www.youtube.com/channel/UCXyDQaRrI9cwgIvNij1L46Q
岩尾Twitter
https://twitter.com/nozomuiwao?s=09
岩尾Instagram
https://instagram.com/iwaotsukushi?ig.","['千原ジュニア', 'フットボールアワー', '小籔千豊', '吉本', 'OmO', '吉本興業', 'ざっくり', 'ジュニアチャンネル', '小藪千豊', '小籔', 'ジュニア', '千原', 'ざっくりハイタッチ', 'チハラ', 'チハラトーク']",2022-05-11T09:00:03Z,157275,2066,,123,PT8M17S,hd,false
6,_XhwLj8H-LE,ざっくりYouTube,【新企画】メンバーシャッフルなりきりロケ【JKIG入れ替え】,"今回は4人が別のメンバーになりきって街ブラロケ！
言いそうな事、やりそうな事をしながら商店街を歩く！
果たして、どんなロケになるのか？

千原ジュニア、吉本新喜劇・小籔千豊、フットボールアワー後藤・岩尾ら
3組の芸人たちによる笑いのかけ合いをお楽しみください！

チャンネル登録者数60万人突破ありがとうございます！
【チャンネル登録】と【いいねボタン】よろしくお願いします！
毎週水曜日・土曜日18時に動画を公開

#千原ジュニア　#小籔千豊　#フットボールアワー　#ざっくり　#ジュニア小籔フット

【番組公式Twitter】
 https://twitter.com/zakkuri_youtube

【出演者SNS情報】
千原ジュニアYouTube
https://www.youtube.com/channel/UCzpMoI_9uAqcIxpq3Ydf2Lg
千原ジュニアInstagram
https://instagram.com/chihara_jr?igsh...
小籔Twitter
https://twitter.com/koyabukazutoyo?s=09
小籔Instagram
https://www.instagram.com/koyabukazutoyo_shinkigeki/
フォートナイト下手くそおじさん 
https://www.youtube.com/channel/UCXyDQaRrI9cwgIvNij1L46Q
岩尾Twitter
https://twitter.com/nozomuiwao?s=09
岩尾Instagram
https://instagram.com/iwaotsukushi?ig.","['千原ジュニア', 'フットボールアワー', '小籔千豊', '吉本', 'OmO', '吉本興業', 'ざっくり', 'ジュニアチャンネル', '小藪千豊', '小籔', 'ジュニア', '千原', 'ざっくりハイタッチ', 'チハラ', 'チハラトーク']",2022-05-07T09:00:23Z,162241,2602,,170,PT9M30S,hd,false
7,7VlOy1kSsCI,ざっくりYouTube,商店街でどれだけ歌を口ずさめるか対決！,"板橋にあるハッピーロード商店街で、その場に合った歌をいくつ口ずさめるか対決！
負ければロケの経費を全額自腹！
果たして一番たくさん歌を口ずさめるのは誰なのか？

千原ジュニア、吉本新喜劇・小籔千豊、フットボールアワー後藤・岩尾ら
3組の芸人たちによる笑いのかけ合いをお楽しみください！

チャンネル登録者数60万人突破ありがとうございます！
【チャンネル登録】と【いいねボタン】よろしくお願いします！
毎週水曜日・土曜日18時に動画を公開

#千原ジュニア　#小籔千豊　#フットボールアワー　#ざっくり　#ジュニア小籔フット

【番組公式Twitter】
 https://twitter.com/zakkuri_youtube

【出演者SNS情報】
千原ジュニアYouTube
https://www.youtube.com/channel/UCzpMoI_9uAqcIxpq3Ydf2Lg
千原ジュニアInstagram
https://instagram.com/chihara_jr?igsh...
小籔Twitter
https://twitter.com/koyabukazutoyo?s=09
小籔Instagram
https://www.instagram.com/koyabukazutoyo_shinkigeki/
フォートナイト下手くそおじさん 
https://www.youtube.com/channel/UCXyDQaRrI9cwgIvNij1L46Q
岩尾Twitter
https://twitter.com/nozomuiwao?s=09
岩尾Instagram
https://instagram.com/iwaotsukushi?ig.","['千原ジュニア', 'フットボールアワー', '小籔千豊', '吉本', 'OmO', '吉本興業', 'ざっくり', 'ジュニアチャンネル', '小藪千豊', '小籔', 'ジュニア', '千原', 'ざっくりハイタッチ', 'チハラ', 'チハラトーク']",2022-05-04T09:00:02Z,157030,2157,,218,PT21M14S,hd,false
8,pW75EeUMw7M,ざっくりYouTube,【岩尾×後藤】楽屋で2人きりトーク【トイプードル×犬のしつけ】,"フットボールアワーの岩尾と後藤が愛犬と一緒に楽屋で2人きりになったらどんな話をするのか？
後藤が犬を飼い始めてからの悩みを愛犬家の先輩・岩尾に相談するとまさかの返答が。

千原ジュニア、吉本新喜劇・小籔千豊、フットボールアワー後藤・岩尾ら
3組の芸人たちによる笑いのかけ合いをお楽しみください！

チャンネル登録者数60万人突破ありがとうございます！
【チャンネル登録】と【いいねボタン】よろしくお願いします！
毎週水曜日・土曜日18時に動画を公開

#千原ジュニア　#小籔千豊　#フットボールアワー　#ざっくり　#ジュニア小籔フット

【番組公式TikTok】
https://vt.tiktok.com/ZSeppBULo/

【番組公式Twitter】
 https://twitter.com/zakkuri_youtube

【出演者SNS情報】
千原ジュニアYouTube
https://www.youtube.com/channel/UCzpMoI_9uAqcIxpq3Ydf2Lg
千原ジュニアInstagram
https://instagram.com/chihara_jr?igsh...
小籔Twitter
https://twitter.com/koyabukazutoyo?s=09
小籔Instagram
https://www.instagram.com/koyabukazutoyo_shinkigeki/
フォートナイト下手くそおじさん 
https://www.youtube.com/channel/UCXyDQaRrI9cwgIvNij1L46Q
岩尾Twitter
https://twitter.com/nozomuiwao?s=09
岩尾Instagram
https://instagram.com/iwaotsukushi?ig.","['千原ジュニア', 'フットボールアワー', '小籔千豊', '吉本', 'OmO', '吉本興業', 'ざっくり', 'ジュニアチャンネル', '小藪千豊', '小籔', 'ジュニア', '千原', 'ざっくりハイタッチ', 'チハラ', 'チハラトーク']",2022-04-30T09:00:31Z,152405,2264,,123,PT11M26S,hd,false
9,eE6gl8b0iWw,ざっくりYouTube,【完結編】APチャクラは真実の愛に辿り着けるのか？【リアル婚活】,"APチャクラ婚活企画完結編！
真剣に婚活をしている番組スタッフ・ズボラ女子APチャクラ。
昨年募集を締め切りした婚活企画に多数の応募者があり、
ついに婚活企画「チャクラー」が本格始動！
果たしてチャクラの婚活の行方は？

千原ジュニア、吉本新喜劇・小籔千豊、フットボールアワー後藤・岩尾ら
3組の芸人たちによる笑いのかけ合いをお楽しみください！

チャンネル登録者数60万人突破ありがとうございます！
【チャンネル登録】と【いいねボタン】よろしくお願いします！
毎週水曜日・土曜日18時に動画を公開

#千原ジュニア　#小籔千豊　#フットボールアワー　#ざっくり
#ジュニア小籔フット

【近高Dプレゼンのチャクラ婚活企画はこちら】
https://www.youtube.com/watch?v=WVDq0fGXDI8

【チャクラーへの応募者162名についてはこちら】
https://www.youtube.com/watch?v=XtMHWx7yZ8A

【番組公式TikTok】
https://vt.tiktok.com/ZSeppBULo/

【番組公式Twitter】
 https://twitter.com/zakkuri_youtube

【出演者SNS情報】
千原ジュニアYouTube
https://www.youtube.com/channel/UCzpMoI_9uAqcIxpq3Ydf2Lg
千原ジュニアInstagram
https://instagram.com/chihara_jr?igsh...
小籔Twitter
https://twitter.com/koyabukazutoyo?s=09
小籔Instagram
https://www.instagram.com/koyabukazutoyo_shinkigeki/
フォートナイト下手くそおじさん 
https://www.youtube.com/channel/UCXyDQaRrI9cwgIvNij1L46Q
岩尾Twitter
https://twitter.com/nozomuiwao?s=09
岩尾Instagram
https://instagram.com/iwaotsukushi?ig.","['千原ジュニア', 'フットボールアワー', '小籔千豊', '吉本', 'OmO', '吉本興業', 'ざっくり', 'ジュニアチャンネル', '小藪千豊', '小籔', 'ジュニア', '千原', 'ざっくりハイタッチ', 'チハラ', 'チハラトーク']",2022-04-27T09:00:14Z,190621,2098,,363,PT29M56S,hd,false
